Nome do Deputado,Partido,UF,Tipo da proposição,Número/Ano,Ementa,Tema ambiental identificado,Data de apresentação,Situação atual,Resultado da votação,Voto do deputado,Link oficial da proposição,Link do inteiro teor
Domingos Neto,PSD,CE,RIC,184/2024,Requer que sejam solicitadas à Senhora Ministra do Meio Ambiente e Mudança do Clima informações sobre o Plano Nacional de Resíduos Sólidos.,"meio ambiente, clima, resíduos sólidos",2024-02-19,Aguardando Remessa ao Arquivo,Sem votação nominal registrada,N/A,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2417981,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2387408
André Figueiredo,PDT,CE,PL,454/2024,"Altera a Lei nº 7.797, de 10 de julho de 1989, e a Lei nº 9.605 de 12 de fevereiro de 1998, para dispor sobre a utilização de recursos do Fundo Nacional do Meio Ambiente para projetos ligados à castração de animais em municípios que tenham unidades de pronto atendimento animal ofertadas a população.",meio ambiente,2024-02-27,Aguardando Parecer,Aprovado (ID Votação: 2418728-27),Votação Simbólica,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2418728,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2389786
Duda Salabert,PSOL,MG,INC,101/2024,Sugere a Excelentíssima Ministra do Meio Ambiente a criação de um programa nacional de bancos de ração e utensílios animais.,meio ambiente,2024-02-21,Aguardando Resposta ,Sem votação nominal registrada,N/A,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2418357,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2388397
Ronaldo Nogueira,REPUBLICANOS,RS,INC,27/2024,Sugere ao Poder Executivo a regulamentação da Lei nº 14.260/2021 (Lei de Incentivo à Reciclagem) pelo Ministério do Meio Ambiente e Mudança do Clima (MMA).,"meio ambiente, clima",2024-02-07,Aguardando Resposta ,Sem votação nominal registrada,N/A,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2417530,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2386016
Marangoni,PODE,SP,RIC,168/2024,"Requer informações à Exma. Sra. Marina Silva, Ministra do Meio Ambiente e Mudança do Clima, referentes à regulamentação da Lei nº 14.260, de 8 de dezembro de 2021.","meio ambiente, clima",2024-02-15,Aguardando Remessa ao Arquivo,Sem votação nominal registrada,N/A,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2417926,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2387177
Duda Salabert,PSOL,MG,INC,52/2024,"Sugere à Excelentíssima Ministra de Estado do Meio Ambiente e Mudança do Clima, Marina Silva, a adoção de medidas de reparação integral no caso do vazamento de ácido sulfônico, em Joinville/SC, que atingiu as águas do Rio Seco, na Bacia Hidrográfica do Rio Cubatão.","meio ambiente, clima",2024-02-19,Aguardando Remessa ao Arquivo,Sem votação nominal registrada,N/A,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2418007,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2387467
Cabo Gilberto Silva,PL,PB,RIC,261/2024,"Solicito ao Ministério do Meio Ambiente e Mudança do Clima, informações concernentes à morte de 59 pássaros apreendidos na casa do ex-ministro da Justiça, senhor Anderson Torres, dos quais 16 morreram sob os cuidados do IBAMA.","meio ambiente, clima",2024-02-23,Aguardando Remessa ao Arquivo,Sem votação nominal registrada,N/A,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2418555,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2389102
Domingos Neto,PSD,CE,RIC,185/2024,Requer que sejam solicitadas à Senhora Ministra do Meio Ambiente e Mudança do Clima informações sobre a política de combate à incêndios do Governo Federal voltados aos biomas do Ceará.,"meio ambiente, clima",2024-02-19,Aguardando Remessa ao Arquivo,Sem votação nominal registrada,N/A,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2417982,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2387409
Silvia Waiãpi,PL,AP,RIC,300/2024,"Requer informações do Ministério do Meio Ambiente e Mudança do Clima, sobre apuração de denúncia referente à venda, manejo, certificação, licenciamento e concessão de licenças para extração de madeira na Comunidade Maracá, no Município de Mazagão/AP.","meio ambiente, clima",2024-02-28,Aguardando Remessa ao Arquivo,Aprovado (ID Votação: 2418917-9),Votação Simbólica,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2418917,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2390435
André Fernandes,PL,CE,RIC,279/2024,"Requisita-se ao Exma. Sra. Ministra do Meio ambiente e Mudança do Clima, informações a respeito do alarmante aumento de 286% (Duzentos e oitenta e seis por cento) nos focos de queimadas na Amazônia, representando uma ameaça significativa à nossa biodiversidade, ao equilíbrio climático e à qualidade de vida das comunidades que habitam essa região vital para o Brasil e para o planeta.","meio ambiente, biodiversidade, Amazônia, clima, queimadas",2024-02-27,Aguardando Remessa ao Arquivo,Aprovado (ID Votação: 2418703-10),Votação Simbólica,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2418703,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2389717
Capitão Alberto Neto,PL,AM,RIC,278/2024,"Requer da Ministra de Estado do Meio Ambiente e Mudança do Clima, Senhora Marina Silva, informações a respeito da alta dos focos de queimadas na Amazônia.","meio ambiente, Amazônia, clima, queimadas",2024-02-27,Aguardando Remessa ao Arquivo,Aprovado (ID Votação: 2418668-9),Votação Simbólica,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2418668,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2389596
Marcos Pollon,PL,MS,RIC,305/2024,"Requer informações do Excelentíssimo Ministra do Meio Ambiente e Mudança do Clima, Sra. Marina Silva   para prestar os esclarecimentos a respeito do aumento de queimadas na região amazônica.","meio ambiente, clima, queimadas",2024-02-28,Aguardando Remessa ao Arquivo,Aprovado (ID Votação: 2418980-9),Votação Simbólica,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2418980,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2390675
Fábio Teruel,MDB,SP,PL,540/2024,"Altera a Lei Federal nº 12.305, de 2 de agosto de 2010, que Instituiu a Política Nacional de Resíduos Sólidos, para determinar a obrigatoriedade de que recipientes de plástico de utilização única para bebidas com capacidade até três litros apenas possam ser colocados no mercado se as cápsulas e tampas permanecerem fixadas aos recipientes durante a fase de utilização prevista do produto e dá outras providências.","meio ambiente, resíduos sólidos",2024-03-05,Tramitando em Conjunto,Sem votação nominal registrada,N/A,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2419190,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2391276
Roberto Monteiro Pai,PL,RJ,RIC,377/2024,Solicita informações ao Ministério do Meio Ambiente e Mudança do Clima em relação aos dados que apontam aumento do desmatamento no ano de 2023 em relação ao ano de 2022.,"meio ambiente, desmatamento, clima",2024-03-05,Aguardando Remessa ao Arquivo,Aprovado (ID Votação: 2419338-10),Votação Simbólica,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2419338,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2391593
Amom Mandel,REPUBLICANOS,AM,RIC,442/2024,Requer informações ao Ministério do Meio Ambiente e Mudança do Clima acerca do aumento de 248% de áreas queimadas no Brasil em janeiro de 2024 em comparação a janeiro de 2023.,"meio ambiente, clima, queimadas",2024-03-06,Aguardando Remessa ao Arquivo,Aprovado (ID Votação: 2419508-9),Votação Simbólica,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2419508,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2391916
Amom Mandel,REPUBLICANOS,AM,RIC,388/2024,"Requer informações ao Ministério do Meio Ambiente e Mudança do Clima acerca das medidas e providências adotadas para solucionar os problemas que resultaram na paralisação dos servidores do IBAMA e ICMBio, o que, por conseguinte, impacta diretamente as atividades essenciais para a preservação da integridade do meio ambiente no Brasil.","meio ambiente, clima",2024-03-05,Aguardando Remessa ao Arquivo,Aprovado (ID Votação: 2419370-9),Votação Simbólica,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2419370,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2391616
Lebrão,UNIÃO,RO,PL,584/2024,"Cria a Lei do Fundo Amazônia, regulamenta a destinação de recursos para a proteção e o desenvolvimento sustentável da Amazônia Brasileira, e dá outras providências.","meio ambiente, ambiental, Amazônia, floresta, desmatamento",2024-03-06,Tramitando em Conjunto,Sem votação nominal registrada,N/A,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2419447,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2391811
Amom Mandel,REPUBLICANOS,AM,RIC,456/2024,"Requer informações ao Ministério do Meio Ambiente e Mudança do Clima acerca das medidas e estratégias adotadas para combater e prevenir o desmatamento e a exploração ilegal de recursos naturais na região Amazônica, especialmente considerando o aumento alarmante de 900% registrado no Amazonas em 2023 em comparação a 2022.","meio ambiente, desmatamento, clima",2024-03-06,Aguardando Remessa ao Arquivo,Aprovado (ID Votação: 2419539-9),Votação Simbólica,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2419539,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2391957
Cobalchini,MDB,SC,INC,141/2024,"Sugere  à Ministra do Meio Ambiente, Marina Silva, a revogação da Portaria 445/2017.",meio ambiente,2024-03-06,Aguardando Remessa ao Arquivo,Sem votação nominal registrada,N/A,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2419425,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2391732
Amom Mandel,REPUBLICANOS,AM,RIC,459/2024,"Requer informações ao Ministério do Meio Ambiente e Mudança do Clima a respeito das medidas que estão sendo tomadas de forma antecipada em conjunto aos governos federal e estadual do Amazonas, a fim de mitigar os efeitos da estiagem deste ano, levando em consideração os dados e as previsões de uma seca mais severa.","meio ambiente, clima",2024-03-06,Aguardando Remessa ao Arquivo,Aprovado (ID Votação: 2419576-9),Votação Simbólica,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2419576,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2392027
Gustavo Gayer,PL,GO,RIC,335/2024,"Requer informações ao Sr. Ministro da Casa Civil acerca dos dados alarmantes sobre as queimadas no estado do Amazonas, tendo em vista que o Ministério do Meio Ambiente e Mudança do Clima, exerce a função de secretaria executiva da Comissão Interministerial Permanente de Prevenção e Controle do Desmatamento, órgão colegiado vinculado a esta Pasta.","meio ambiente, desmatamento, clima, queimadas",2024-03-04,Aguardando Remessa ao Arquivo,Aprovado (ID Votação: 2419149-9),Votação Simbólica,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2419149,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2391183
Amom Mandel,REPUBLICANOS,AM,RIC,389/2024,Requer informações ao Ministério do Meio Ambiente e Mudança do Clima acerca do planejamento e das ações relacionadas à aplicação dos recursos provenientes do Fundo Amazônia.,"meio ambiente, Amazônia, clima",2024-03-05,Aguardando Remessa ao Arquivo,Aprovado (ID Votação: 2419372-9),Votação Simbólica,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2419372,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2391618
Rogéria Santos,REPUBLICANOS,BA,RIC,478/2024,Requer informações ao Ministério do Meio Ambiente e Mudança do Clima sobre as medidas tomadas por este Ministério para combater os incêndios que já consumiram mais de um milhão de hectares apenas no mês de janeiro de 2024.,"meio ambiente, clima",2024-03-11,Aguardando Remessa ao Arquivo,Aprovado (ID Votação: 2420035-9),Votação Simbólica,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2420035,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2392955
Amom Mandel,REPUBLICANOS,AM,INC,146/2024,Sugere ação ao Ministério do Meio Ambiente e Mudança do Clima para combater a sonegação fiscal na Compensação Financeira pela Exploração de Recursos Minerais (CFEM).,"meio ambiente, clima",2024-03-07,Aguardando Resposta ,Sem votação nominal registrada,N/A,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2419825,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2392511
Paulo Litro,UNIÃO,PR,PL,692/2024,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, que “dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente, e dá outras providências”, para determinar que, em casos de crimes de maus-tratos contra animais, o infrator deverá arcar com todas as despesas veterinárias necessárias para tratamento das lesões provocadas, além de outros gastos decorrentes da agressão",meio ambiente,2024-03-12,Notificações,Sem votação nominal registrada,N/A,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2420172,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2393259
Duda Salabert,PSOL,MG,INC,177/2024,"Sugere à Excelentíssima Ministra do Meio Ambiente e Mudanças Climáticas, Marina Silva, sugerindo que seja garantida a equidade e paridade de gênero no processo de planejamento e gestão da COP-30, em Belém, e se articule ao Governo do Estado do Pará para tal.","meio ambiente, mudanças climáticas, clima",2024-03-13,Aguardando Remessa ao Arquivo,Sem votação nominal registrada,N/A,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2421126,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2395256
Amom Mandel,REPUBLICANOS,AM,RIC,392/2024,"Requer informações ao Ministério do Meio Ambiente e Mudança do Clima acerca das medidas e estratégias adotadas para combater a disposição inadequada de resíduos sólidos e para remediar suas consequências ambientais como tem ocorrido em diversas localidades do país, como no município de Tefé, no estado do Amazonas.","meio ambiente, clima, resíduos sólidos",2024-03-05,Aguardando Remessa ao Arquivo,Aprovado (ID Votação: 2419377-9),Votação Simbólica,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2419377,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2391623
Duda Salabert,PSOL,MG,INC,174/2024,"Sugere à Excelentíssima Ministra do Meio Ambiente e Mudanças Climáticas, Marina Silva, que (re)avalie o processo de licenciamento do Processo Administrativo IBAMA 02001.005766/2022-10","meio ambiente, mudanças climáticas, clima",2024-03-13,Aguardando Remessa ao Arquivo,Sem votação nominal registrada,N/A,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2421115,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2395243
Amom Mandel,REPUBLICANOS,AM,RIC,396/2024,Requer informações ao Ministério do Meio Ambiente e Mudança do Clima acerca das medidas adotadas para mitigar os impactos socioeconômicos e ambientais da sonegação fiscal na Contribuição Financeira pela Exploração Mineral no Setor de Mineração no Brasil.,"meio ambiente, clima, recursos hídricos",2024-03-05,Aguardando Remessa ao Arquivo,Aprovado (ID Votação: 2419381-9),Votação Simbólica,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2419381,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2391627
Lucio Mosquini,PL,RO,PL,809/2024,"Altera a Lei nº 12.651, de 25 de maio de 2012, Código Florestal, para dispor sobre a classificação de infrações administrativas e crimes contra a flora relativos ao desflorestamento em propriedades rurais, suas sanções e previsão de anistia, e dá outras providências.","meio ambiente, ambiental, floresta, flora",2024-03-18,Tramitando em Conjunto,Sem votação nominal registrada,N/A,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2421470,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2396113
Prof. Reginaldo Veras,PV,DF,PL,616/2024,"Inclui na Lei nº 12.305, de 2 de agosto de 2010, que institui a Política Nacional de Resíduos Sólidos (PNRS), os sistemas de coleta seletiva e logística reversa do coco verde.","meio ambiente, resíduos sólidos",2024-03-06,Aguardando Designação de Relator(a),Aprovado (ID Votação: 2419657-34),Votação Simbólica,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2419657,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2392152
Prof. Reginaldo Veras,PV,DF,PL,616/2024,"Inclui na Lei nº 12.305, de 2 de agosto de 2010, que institui a Política Nacional de Resíduos Sólidos (PNRS), os sistemas de coleta seletiva e logística reversa do coco verde.","meio ambiente, resíduos sólidos",2024-03-06,Aguardando Designação de Relator(a),Aprovado (ID Votação: 2419657-22),Votação Simbólica,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2419657,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2392152
