deputado_id,deputado_nome,deputado_partido,deputado_uf,total_gasto
73486,Pompeo de Mattos,PDT,RS,2171756.13
220538,Albuquerque,REPUBLICANOS,RR,2067636.28
220590,Coronel Ulysses,UNIÃO,AC,2016100.81
224117,Gabriel Mota,UNIÃO,RR,2015650.28
160591,Vinicius Gurgel,PL,AP,2002973.04
204426,Carlos Veras,PT,PE,2001681.34
204473,General Girão,PL,RN,1987806.11
141459,João Maia,PP,RN,1984577.48
74090,Átila Lins,PSD,AM,1976426.25
204360,Silvia Cristina,PP,RO,1975790.82
204388,Bibo Nunes,PL,RS,1964566.84
220536,Zé Haroldo Cathedral,UNIÃO,RR,1961762.41
220537,Helena Lima,PSD,RR,1947809.40
204406,Pedro Westphalen,PP,RS,1945757.46
191923,Flávio Nogueira,PT,PI,1942523.23
204479,Nicoletti,PL,RR,1936664.35
141408,Cleber Verde,MDB,MA,1928046.79
74374,Geraldo Resende,UNIÃO,MS,1926381.73
220608,Cristiane Lopes,PODE,RO,1919026.51
204423,André Ferreira,PL,PE,1917921.37
220539,Defensor Stélio Dener,UNIÃO,RR,1910414.03
178997,Moses Rodrigues,UNIÃO,CE,1907084.27
220591,Meire Serafim,UNIÃO,AC,1905772.24
188097,Merlong Solano,PT,PI,1905143.84
178908,Delegado Éder Mauro,PL,PA,1898018.87
204453,Natália Bonavides,PT,RN,1889886.16
220551,Franciane Bayer,REPUBLICANOS,RS,1888834.08
220610,Dr. Fernando Máximo,PL,RO,1886754.95
178954,Lucio Mosquini,PL,RO,1885154.56
220546,Rodolfo Nogueira,PL,MS,1880757.56
204358,Beto Pereira,REPUBLICANOS,MS,1879741.09
204431,Marcos Aurélio Sampaio,MDB,PI,1873805.72
220574,Cabo Gilberto Silva,PL,PB,1873787.24
178964,Heitor Schuch,PSD,RS,1873052.84
178866,Luizianne Lins,REDE,CE,1869764.18
204557,Sidney Leite,PSD,AM,1868396.48
160674,Hugo Motta,REPUBLICANOS,PB,1867702.36
91228,Waldemar Oliveira,AVANTE,PE,1867340.81
220662,Lucas Ramos,PSB,PE,1866157.80
178835,Afonso Motta,PDT,RS,1864170.09
74060,Daniel Almeida,PCdoB,BA,1860644.73
143632,Domingos Neto,PSD,CE,1859115.97
220677,Keniston Braga,MDB,PA,1858304.43
204379,Acácio Favacho,MDB,AP,1855777.41
81055,Márcio Jerry,PCdoB,MA,1855525.72
204378,Coronel Chrisóstomo,PL,RO,1853560.99
141411,Dagoberto Nogueira,PP,MS,1853040.54
160538,Bohn Gass,PT,RS,1852579.35
123756,Antônia Lúcia,MDB,AC,1848109.24
220578,Josenildo,PDT,AP,1847951.82
204498,Olival Marques,PODE,PA,1846388.66
220688,Dr. Francisco,PT,PI,1846142.45
220708,Gabriel Nunes,PSD,BA,1842996.31
136811,Afonso Hamm,PP,RS,1840112.02
220714,Adail Filho,MDB,AM,1839346.29
74398,Maria do Rosário,PT,RS,1838751.62
209189,Joseildo Ramos,PT,BA,1838484.42
220544,Antonio Andrade,PSDB,TO,1838376.59
74044,Wilson Santiago,REPUBLICANOS,PB,1836212.92
220584,Murilo Galdino,REPUBLICANOS,PB,1834070.70
160559,Alceu Moreira,MDB,RS,1829833.05
74041,Luiz Couto,PT,PB,1829605.16
220592,Zezinho Barbary,PP,AC,1827395.04
141421,Eduardo da Fonte,PP,PE,1826505.93
160673,Giovani Cherini,PL,RS,1825907.69
220581,Luciano Amaral,PSD,AL,1824535.81
220589,Eduardo Velloso,SOLIDARIEDADE,AC,1824100.50
220558,Zé Trovão,PL,SC,1823013.16
160665,Augusto Coutinho,REPUBLICANOS,PE,1822003.80
220553,Denise Pessôa,PT,RS,1814819.00
178929,Diego Garcia,UNIÃO,PR,1813601.36
62881,Danilo Forte,PP,CE,1813251.24
178829,Capitão Augusto,PL,SP,1813005.23
204396,Vermelho,PL,PR,1812821.69
220542,Alexandre Guimarães,MDB,TO,1812028.88
74043,Wellington Roberto,PSD,PB,1810447.75
73692,Osmar Terra,PL,RS,1807757.43
178934,Toninho Wandscheer,PP,PR,1805603.99
220666,Coronel Meira,PL,PE,1803845.44
178887,Rubens Pereira Júnior,PT,MA,1803347.49
220672,Henderson Pinto,UNIÃO,PA,1802192.19
180214,Pastor Diniz,UNIÃO,RR,1799152.89
122974,Pedro Lucas Fernandes,UNIÃO,MA,1795861.19
220685,Paulo Litro,UNIÃO,PR,1791702.74
141485,Luiz Carlos Busato,UNIÃO,RS,1790557.79
220561,Delegada Katarina,PSD,SE,1788423.75
220548,Camila Jara,PT,MS,1788171.30
160635,Ruy Carneiro,PODE,PB,1787740.57
220573,Dorinaldo Malafaia,PDT,AP,1787470.71
109429,Benes Leocádio,UNIÃO,RN,1786561.15
220658,Luiz Gastão,PSD,CE,1786557.96
178963,Covatti Filho,PP,RS,1785390.29
69871,Bacelar,PV,BA,1783947.92
204409,Daniel Trzeciak,PSDB,RS,1783775.79
74454,Eunício Oliveira,MDB,CE,1781221.46
204408,Gustinho Ribeiro,PP,SE,1778891.72
73768,Dilceu Sperafico,PP,PR,1778217.36
104552,Socorro Neri,PP,AC,1777495.96
