data_medicao,nome_municipio,latitude,longitude,temperatura_maxima_c,temperatura_minima_c,temperatura_media_c,precipitacao_total_mm,poluicao_particulas_inalaveis,poluicao_particulas_finas,poluicao_monoxido_carbono,focos_queimadas_nasa,perda_agua_solo_vegetacao,estresse_hidrico_vegetacao,indice_cobertura_vegetal,percentual_nuvens
2026-04-04,Petrópolis,-22.3880004,-43.1752593,24.1,17.0,19.8,11.8,9.983333333333333,9.883333333333333,207.16666666666666,0,3.57,1.07,,
2026-04-05,Petrópolis,-22.3880004,-43.1752593,23.9,16.4,19.1,4.6,17.150000000000002,17.1125,244.41666666666666,0,2.97,0.86,,
2026-04-06,Petrópolis,-22.3880004,-43.1752593,23.8,16.1,18.7,8.6,31.5,31.40416666666667,316.9583333333333,1,3.07,0.91,,
2026-04-07,Petrópolis,-22.3880004,-43.1752593,23.7,16.8,19.4,0.3,13.829166666666666,13.612499999999999,122.08333333333333,0,3.84,1.14,,
2026-04-08,Petrópolis,-22.3880004,-43.1752593,24.1,16.1,19.7,0.8,7.670833333333333,7.554166666666667,151.08333333333334,0,3.71,0.99,,
2026-04-09,Petrópolis,-22.3880004,-43.1752593,24.8,17.0,19.8,3.0,14.054166666666667,13.441666666666668,192.70833333333334,0,3.45,1.23,,
2026-04-10,Petrópolis,-22.3880004,-43.1752593,20.6,14.3,17.0,11.6,13.983333333333334,11.6,141.79166666666666,0,2.19,0.73,,
2026-04-11,Petrópolis,-22.3880004,-43.1752593,20.4,14.1,16.4,0.5,16.070833333333333,14.0625,126.29166666666667,0,2.44,0.8,,
2026-04-12,Petrópolis,-22.3880004,-43.1752593,21.5,10.9,16.3,5.4,19.6375,18.191666666666666,124.16666666666667,0,3.06,0.99,,
2026-04-13,Petrópolis,-22.3880004,-43.1752593,20.2,14.1,16.6,3.8,12.820833333333333,11.512500000000001,135.41666666666666,0,2.47,0.76,,
2026-04-14,Petrópolis,-22.3880004,-43.1752593,22.0,13.3,16.4,0.2,21.941666666666666,20.604166666666668,151.75,0,3.31,1.41,,
2026-04-15,Petrópolis,-22.3880004,-43.1752593,22.4,11.9,16.6,0.0,29.537499999999998,28.337500000000002,144.375,0,3.49,1.38,,
2026-04-16,Petrópolis,-22.3880004,-43.1752593,22.0,13.1,16.9,1.4,28.775000000000002,27.837500000000002,157.70833333333334,0,3.19,1.12,,
2026-04-17,Petrópolis,-22.3880004,-43.1752593,22.2,14.1,17.6,0.0,15.958333333333334,15.6875,177.91666666666666,0,3.41,1.19,,
2026-04-18,Petrópolis,-22.3880004,-43.1752593,24.2,14.9,18.9,0.2,16.429166666666667,16.3625,225.66666666666666,0,3.48,1.32,,
2026-04-19,Petrópolis,-22.3880004,-43.1752593,22.1,13.1,17.5,1.1,26.025000000000002,25.020833333333332,215.16666666666666,0,3.29,0.9,,
2026-04-20,Petrópolis,-22.3880004,-43.1752593,21.7,13.0,16.2,0.0,29.045833333333334,27.40833333333333,157.5,6,3.75,1.29,,
2026-04-21,Petrópolis,-22.3880004,-43.1752593,20.7,11.2,15.6,1.3,27.933333333333334,25.7625,182.08333333333334,2,2.74,0.99,,
2026-04-22,Petrópolis,-22.3880004,-43.1752593,21.0,13.1,16.2,1.5,26.662499999999998,25.816666666666666,209.79166666666666,0,2.72,0.95,,
2026-04-23,Petrópolis,-22.3880004,-43.1752593,20.2,13.8,16.6,3.8,18.554166666666667,18.0625,189.83333333333334,0,2.7,0.68,,
2026-04-24,Petrópolis,-22.3880004,-43.1752593,22.0,11.3,16.4,0.1,14.308333333333332,14.020833333333334,150.79166666666666,0,3.47,1.34,,
2026-04-25,Petrópolis,-22.3880004,-43.1752593,22.4,12.7,17.5,0.0,10.408333333333333,9.991666666666667,183.41666666666666,0,3.32,1.11,,
2026-04-26,Petrópolis,-22.3880004,-43.1752593,23.5,14.6,19.2,0.0,9.116666666666667,9.0875,194.91666666666666,0,3.58,1.26,,
2026-04-27,Petrópolis,-22.3880004,-43.1752593,24.6,16.3,20.1,0.0,11.225,10.883333333333333,250.45833333333334,0,3.6,1.34,,
2026-04-28,Petrópolis,-22.3880004,-43.1752593,24.1,15.9,20.0,0.4,25.858333333333334,25.150000000000002,229.0,0,3.35,1.08,,
2026-04-29,Petrópolis,-22.3880004,-43.1752593,23.4,15.9,19.0,0.0,15.729166666666666,15.416666666666666,192.66666666666666,0,3.45,1.15,,
2026-04-30,Petrópolis,-22.3880004,-43.1752593,24.2,15.3,19.0,14.4,18.8875,18.320833333333333,222.25,0,3.32,1.4,,
2026-05-01,Petrópolis,-22.3880004,-43.1752593,21.2,16.2,18.7,15.2,12.020833333333334,11.354166666666666,187.79166666666666,0,2.22,0.55,,
2026-05-02,Petrópolis,-22.3880004,-43.1752593,23.5,14.4,18.3,0.0,14.133333333333333,14.012500000000001,179.125,0,3.32,1.22,,
2026-05-03,Petrópolis,-22.3880004,-43.1752593,18.2,13.5,16.0,2.6,19.291666666666668,17.383333333333333,141.75,0,1.49,0.5,,
2026-05-04,Petrópolis,-22.3880004,-43.1752593,18.7,13.0,15.4,0.4,13.6875,11.341666666666667,104.41666666666667,0,1.98,0.54,,
